,Exit Trade Id,Column,Size,Entry Order Id,Entry Index,Avg Entry Price,Entry Fees,Exit Order Id,Exit Index,Avg Exit Price,Exit Fees,PnL,Return,Direction,Status,Position Id
113,113,0,0.010268170235438226,225,2021-01-21 01:00:00,34784.840658952526,0.0,226,2021-01-21 11:00:00,32208.580301673865,0.0,26.453479919348183,0.07406273274434595,Short,Closed,113
114,114,0,0.01313133967977347,227,2021-01-21 21:00:00,31229.38217561123,0.0,228,2021-01-22 02:00:00,30710.95257334326,0.0,6.807675207430577,0.016600699922678618,Short,Closed,114
115,115,0,0.012711814290077788,229,2021-01-31 14:00:00,33331.117500905726,0.0,230,2021-01-31 19:00:00,32809.0435928667,0.0,6.636506564687238,0.015663258455851013,Short,Closed,115
116,116,0,0.009440868923200795,231,2021-02-09 13:00:00,46285.14519545947,0.0,232,2021-02-09 20:00:00,47084.43476744442,0.0,7.545988080791233,0.017268814186702935,Long,Closed,116
117,117,0,0.008818736265964766,233,2021-02-17 14:00:00,51261.762616480366,0.0,234,2021-02-17 19:00:00,52141.82786125815,0.0,7.761063290536981,0.017168064456972956,Long,Closed,117
118,118,0,0.00867730786140366,235,2021-03-09 18:00:00,53886.07838891042,0.0,236,2021-03-09 23:00:00,54883.32796724843,0.0,8.653441605893875,0.018506627465828686,Long,Closed,118
119,119,0,0.00807068591064636,237,2021-03-14 21:00:00,60080.76391579712,0.0,238,2021-03-15 02:00:00,60070.09436160944,0.0,0.08611062065540409,0.00017758685962507837,Short,Closed,119
120,120,0,0.0092798775884279,239,2021-03-25 07:00:00,52270.64597083543,0.0,240,2021-03-25 13:00:00,51653.34635935399,0.0,5.728464829931795,0.011809680175482368,Short,Closed,120
121,121,0,0.00831615421594115,241,2021-04-11 19:00:00,59705.73811455905,0.0,242,2021-04-12 01:00:00,59865.072532654594,0.0,-1.32504959278981,-0.0026686617254413187,Short,Closed,121
122,122,0,0.008999967864227984,243,2021-04-27 17:00:00,54874.86555531753,0.0,244,2021-04-27 23:00:00,55012.143406101466,0.0,1.2354962455257805,0.0025016526126256985,Long,Closed,122
123,123,0,0.008990172870484403,245,2021-05-11 11:00:00,55209.507780688175,0.0,246,2021-05-11 20:00:00,56807.27722676767,0.0,-14.364223527432785,-0.028940113946068966,Short,Closed,123
124,124,0,0.009190626291047414,247,2021-05-13 07:00:00,50879.51105610486,0.0,248,2021-05-13 15:00:00,49628.199893157376,0.0,11.500333272466207,0.02459361611332422,Short,Closed,124
125,125,0,0.012705343060919529,249,2021-05-27 00:00:00,38614.87534656934,0.0,250,2021-05-27 05:00:00,38135.88453471955,0.0,6.085742587579887,0.012404308120920575,Short,Closed,125
126,126,0,0.014053162407585633,251,2021-05-29 08:00:00,35777.4790560004,0.0,252,2021-05-29 19:00:00,34026.028124296594,0.0,24.613424392150705,0.04895400620491898,Short,Closed,126
127,127,0,0.014946512052932652,253,2021-05-31 21:00:00,36932.60143485837,0.0,254,2021-06-01 02:00:00,36850.60270709249,0.0,-1.2255949728778432,-0.0022202261573831305,Long,Closed,127
128,128,0,0.016713215212938917,255,2021-06-08 12:00:00,32881.906655582134,0.0,256,2021-06-08 18:00:00,32735.942620430964,0.0,2.4395283328304913,0.004439038060659145,Short,Closed,128
129,129,0,0.01392341563152233,257,2021-06-14 20:00:00,39820.79210197026,0.0,258,2021-06-15 01:00:00,39922.14557141478,0.0,1.4111864807728125,0.0025452399134848567,Long,Closed,129
130,130,0,0.015590296765750487,259,2021-06-19 00:00:00,35744.27225772528,0.0,260,2021-06-19 06:00:00,35773.10484965945,0.0,-0.4495086647795006,-0.0008066353044280802,Short,Closed,130
131,131,0,0.017533506831446482,261,2021-06-26 06:00:00,31731.51841172558,0.0,262,2021-06-26 14:00:00,31255.08599988601,0.0,8.353530947711647,0.015014485145580608,Short,Closed,131
132,132,0,0.017030266530422503,263,2021-07-10 05:00:00,33650.198939391834,0.0,264,2021-07-10 10:00:00,33623.95211292065,0.0,-0.44699045038214535,-0.000779990231810088,Long,Closed,132
133,133,0,0.018101160046923654,265,2021-07-17 09:00:00,31610.0114222272,0.0,266,2021-07-17 15:00:00,31765.16560938837,0.0,-2.8084707737547205,-0.004908387570276936,Short,Closed,133
134,134,0,0.016578543526587098,267,2021-07-25 15:00:00,34174.34911472851,0.0,268,2021-07-25 23:00:00,35381.60812386033,0.0,20.014596030756252,0.03532646679177019,Long,Closed,134
135,135,0,0.014506863829495332,269,2021-07-31 04:00:00,41814.00842265468,0.0,270,2021-07-31 09:00:00,41640.00520710192,0.0,-2.5242409539182518,-0.004161361756900787,Long,Closed,135
136,136,0,0.012494642652203876,271,2021-08-25 07:00:00,48143.96547298474,0.0,272,2021-08-25 15:00:00,48822.15712152042,0.0,-8.473762298162342,-0.014086742582852568,Short,Closed,136
